content,score,sentimen,content_clean
"malas belanja di sini kemahalan ongkirnya, bagusan shophee",1,negatif,malas belanja kemahalan ongkirnya bagusan shophee
"bagussss banget sering dapat diskon ,",4,positif,bagussss banget diskon
bagus,5,positif,bagus
aneh setiap Mae beli pasti ada muncul tulisan TIDAK BISA DI PESAN LEBIH DARI 1 padahal ya mau beli 1 tapi gak bisa di beli anehh percuma aku ngumpulin voucher,1,negatif,aneh mae beli muncul tulisan pesan ya beli gak beli anehh ngumpulin voucher
apk bagus banget buat belanja online,4,positif,apk bagus banget belanja online
promo pengguna baru nya abal abal jangn di percaya ama iklan iklan nya,1,negatif,promo pengguna nya abal abal jangn percaya ama iklan iklan nya
kereen,5,positif,kereen
sangat bermanfaat,5,positif,bermanfaat
ok,5,positif,ok
susah buat di chek out,1,negatif,susah chek out
ini juga bagus sih,5,positif,bagus sih
"produknya ori, pengiriman cepat , promonya banyak. thx u Tokopedia. tambah maju dan sukses",5,positif,produknya ori pengiriman cepat promonya thx u tokopedia maju sukses
"promo pengguna baru tidak bisa claim, error terus saat lsnjut ke pembayaran",5,positif,promo pengguna claim error lsnjut pembayaran
bagus,5,positif,bagus
"ongkirnya mahal banget sialan,beda dibandingin toko Oren bebas ongkir",1,negatif,ongkirnya mahal banget sialanbeda dibandingin toko oren bebas ongkir
mntap jdi mudah,4,positif,mntap jdi mudah
mantep jangan sungkan2 punya aplikasi toko pedia... nyenengin rakyat.. good job,5,positif,mantep sungkan aplikasi toko pedia nyenengin rakyat good job
"wah baru pertama kali pake Tokopedia ORI bukan di tik tok di kasih diskon 50ribu beneran di kirim cuman bayar 1k doang tapi kalo nggak pake gratis ongkir kok mahal banget ya ongkirnya jadi mikir"" kalo mau beli tanpa ongkir",5,positif,kali pake tokopedia ori tik tok kasih diskon ribu beneran kirim cuman bayar k doang kalo nggak pake gratis ongkir mahal banget ya ongkirnya mikir kalo beli ongkir
nice,5,positif,nice
"gopay leter nya ngga bisa aktif padahal data lengkap, pembelian barang d toko pedia banyak barang rusak n tidak sesuai tolong d sortir lagi buat para pedagan jgn sampai merugikan costemer",1,negatif,gopay leter nya ngga aktif data lengkap pembelian barang d toko pedia barang rusak n sesuai tolong d sortir pedagan jgn merugikan costemer
"niat ngasih promo gak sih? pas ada promo error melulu gak bisa co,giliran abis baru bisa,kalo gak niat mending gak usah",1,negatif,niat ngasih promo gak sih pas promo error melulu gak cogiliran abis bisakalo gak niat mending gak
udah dapet diskon malah gabisa cek out hadeh,1,negatif,udah dapet diskon gabisa cek out hadeh
terimakasih,5,positif,terimakasih
mau tarik dana malah minta foto ktp. apalah maksdunya tokopedia toktok ga jelas. lokup data pribadi orang. jangam pakai tokopedia toktok. vangke,1,negatif,tarik dana foto ktp apalah maksdunya tokopedia toktok ga lokup data pribadi orang jangam pakai tokopedia toktok vangke
kenapa saldo saya di toko pedia tidak bisa di ambil ...sedangkan tiktok kalau akunya ada saldo bisa di ambil nanti pembayaran ke dua sedangkan tokopedia kita punya saldo 50 sedangkan saya mau belanja 60 kan ada saldo 50 gak bisa di gunakan harus di bawah saldo 50b tolong dong perbaiki lagi,1,negatif,saldo toko pedia ambil tiktok akunya saldo ambil pembayaran tokopedia saldo belanja saldo gak saldo b tolong perbaiki
keren,5,positif,keren
mempermudah dalam hal keperluan yang mendesak. pertahankan kepercayaan publik dengan layanan yang baik dan terpercaya penuh tanggung jawab,5,positif,mempermudah keperluan mendesak pertahankan kepercayaan publik layanan terpercaya penuh tanggung
bsgus,5,positif,bsgus
"masi mending aplikasi sebelah jir, lag kalo belanja disini",1,negatif,masi mending aplikasi sebelah jir lag kalo belanja
